"tool_final","Orthogroup","Ambrosia","Non_Ambrosia","NumberGenes"
"Lipase","N0.HOG0002652",0,2,986
"Lipase","N0.HOG0002654",3,0,95
"Lipase","N0.HOG0002655",2,0,620
"Lipase","N0.HOG0002658",2,2,367
"Lipase","N0.HOG0002659",0,2,986
"Lipase","N0.HOG0002660",0,2,986
"Lipase","N0.HOG0002661",4.5,0,6
"Lipase","N0.HOG0002662",1,1,466
"Lipase","N0.HOG0002664",2,2,367
"Lipase","N0.HOG0002665",5,1,3
"Lipase","N0.HOG0002667",0,4,125
"Lipase","N0.HOG0002670",2,3.5,3
"Lipase","N0.HOG0002671",0,3,185
"Lipase","N0.HOG0002672",2,1.5,44
"Lipase","N0.HOG0002673",1,2,119
"Lipase","N0.HOG0002674",1,1,466
"Lipase","N0.HOG0002675",1,2,119
"Lipase","N0.HOG0002679",2,1,161
"Lipase","N0.HOG0002680",1,1,466
"Lipase","N0.HOG0002685",1,1,466
"Lipase","N0.HOG0002686",2,2,367
"Lipase","N0.HOG0002687",0,2,986
"Lipase","N0.HOG0002688",2,0,620
"Lipase","N0.HOG0002690",1,1,466
"Lipase","N0.HOG0002691",0,2,986
"Lipase","N0.HOG0002692",0,1,644
"Lipase","N0.HOG0002694",0,4,125
"Lipase","N0.HOG0002696",1,0,184
"Lipase","N0.HOG0002697",2,2,367
"Lipase","N0.HOG0002702",6,0,16
"Lipase","N0.HOG0002706",2,0,620
"Lipase","N0.HOG0002709",0,2,986
"Lipase","N0.HOG0002710",0,2,986
"Lipase","N0.HOG0002711",0,1,644
"Lipase","N0.HOG0002714",2,3,50
"Lipase","N0.HOG0002717",1,1,466
"Lipase","N0.HOG0002718",0,1,644
"Lipase","N0.HOG0002721",0,3,185
"Lipase","N0.HOG0002723",0,4,125
"Lipase","N0.HOG0002724",3,2,61
"Lipase","N0.HOG0002727",1,0,184
"Lipase","N0.HOG0002728",1,1,466
"Lipase","N0.HOG0002731",2,0,620
"Lipase","N0.HOG0002732",2,2,367
"Lipase","N0.HOG0002733",1,1,466
"Lipase","N0.HOG0002734",0,2,986
"Lipase","N0.HOG0002737",1,1,466
"Lipase","N0.HOG0002740",2,0,620
"Lipase","N0.HOG0002742",0,4,125
"Lipase","N0.HOG0002743",0,4,125
"Lipase","N0.HOG0002744",0,2,986
"Lipase","N0.HOG0002745",0,1,644
"Lipase","N0.HOG0002753",1,1,466
"Lipase","N0.HOG0002754",0,2,986
"Lipase","N0.HOG0002755",0,1,644
"Lipase","N0.HOG0002756",2,0,620
"Lipase","N0.HOG0002759",0,2,986
"Lipase","N0.HOG0002764",2,1,161
"Lipase","N0.HOG0002765",1,1,466
"Lipase","N0.HOG0002767",1.5,1,26
"Lipase","N0.HOG0002768",2,2,367
"Lipase","N0.HOG0002769",0,2,986
"Lipase","N0.HOG0002771",5.5,0,2
"Lipase","N0.HOG0002773",1,1,466
"Lipase","N0.HOG0002774",1,1,466
"Lipase","N0.HOG0002776",0,2,986
"Lipase","N0.HOG0002778",2,2,367
"Lipase","N0.HOG0002781",0,20,4
"Lipase","N0.HOG0002782",8,1.5,1
"Lipase","N0.HOG0002783",2,3.5,3
"Lipase","N0.HOG0002784",2,0,620
"Lipase","N0.HOG0002785",1,1,466
"Lipase","N0.HOG0002788",1,4,6
"Lipase","N0.HOG0002790",0,2,986
"Lipase","N0.HOG0002791",0,2,986
"Lipase","N0.HOG0002794",1,1,466
"Lipase","N0.HOG0002797",0,2,986
"Lipase","N0.HOG0002798",1.5,0,39
"Lipase","N0.HOG0002799",0,2,986
"Lipase","N0.HOG0002805",2,0,620
"Lipase","N0.HOG0002808",2,2,367
"Lipase","N0.HOG0002812",2,3,50
"Lipase","N0.HOG0002814",1,2,119
"Lipase","N0.HOG0002815",1,1,466
"Lipase","N0.HOG0002817",0,2,986
"Lipase","N0.HOG0002818",1,2,119
"Lipase","N0.HOG0002819",2,2,367
"Lipase","N0.HOG0002821",0,2,986
"Lipase","N0.HOG0002823",0,4,125
"Lipase","N0.HOG0002825",2,2,367
"Lipase","N0.HOG0002831",7,5,6
"Lipase","N0.HOG0002832",0,2,986
"Lipase","N0.HOG0002835",0,2,986
"Lipase","N0.HOG0002836",0,2,986
"Lipase","N0.HOG0002837",0,1,644
"Lipase","N0.HOG0002838",2,0,620
"Lipase","N0.HOG0002839",0,2,986
"Lipase","N0.HOG0002841",0,1,644
"Lipase","N0.HOG0002845",2,2,367
"Lipase","N0.HOG0002846",1.5,0,39
"Lipase","N0.HOG0002848",2,1,161
"Lipase","N0.HOG0002850",1,1,466
"Lipase","N0.HOG0002852",0,2,986
"Lipase","N0.HOG0002853",3,0,95
"Lipase","N0.HOG0002855",2,2,367
"Lipase","N0.HOG0002856",0,1,644
"Lipase","N0.HOG0002858",2,2,367
"Lipase","N0.HOG0002859",0,1,644
"Lipase","N0.HOG0002862",2,0,620
"Lipase","N0.HOG0002867",0,2,986
"Lipase","N0.HOG0002868",4,0,65
"Lipase","N0.HOG0002871",2,1,161
"Lipase","N0.HOG0002873",2,0,620
"Lipase","N0.HOG0002878",1,2,119
"Lipase","N0.HOG0002881",0,2,986
"Lipase","N0.HOG0002883",2,0,620
"Lipase","N0.HOG0002885",0,1,644
"Lipase","N0.HOG0002887",2,2,367
"Lipase","N0.HOG0002894",2,0,620
"Lipase","N0.HOG0002901",0,2,986
"Lipase","N0.HOG0002902",0,3,185
"Lipase","N0.HOG0002907",2,0,620
"Lipase","N0.HOG0002910",1,1,466
"Lipase","N0.HOG0002911",0,1,644
"Lipase","N0.HOG0002912",0,1,644
"Lipase","N0.HOG0002917",0,2.5,19
"Lipase","N0.HOG0002918",2.5,1,1
"Lipase","N0.HOG0002921",0,2,986
"Lipase","N0.HOG0002922",0,2,986
"Lipase","N0.HOG0002924",4,3,23
"Lipase","N0.HOG0002930",0,1,644
"Lipase","N0.HOG0002932",0,1,644
"Lipase","N0.HOG0002936",0,2,986
"Lipase","N0.HOG0002937",0,2.5,19
"Lipase","N0.HOG0002940",1,1,466
"Lipase","N0.HOG0002945",0,2,986
"Lipase","N0.HOG0002947",2,1,161
"Lipase","N0.HOG0002948",0,2,986
"Lipase","N0.HOG0002949",2,2,367
"Lipase","N0.HOG0002953",0,1,644
"Lipase","N0.HOG0002954",2,0,620
"Lipase","N0.HOG0002955",1,1,466
"Lipase","N0.HOG0002956",0,1,644
"Lipase","N0.HOG0002957",1,1,466
"Lipase","N0.HOG0002958",1,1,466
"Lipase","N0.HOG0002963",2,2,367
"Lipase","N0.HOG0002964",1.5,1,26
"Lipase","N0.HOG0002967",2,0,620
"Lipase","N0.HOG0002968",2,2.5,18
"Lipase","N0.HOG0002969",2,2,367
"Lipase","N0.HOG0002972",2.5,2,13
"Lipase","N0.HOG0002973",0,2,986
"Lipase","N0.HOG0002974",3,3,66
"Lipase","N0.HOG0002975",1,1,466
"Lipase","N0.HOG0002977",5,3,11
"Lipase","N0.HOG0002979",3,2,61
"Lipase","N0.HOG0002984",1,1,466
"Lipase","N0.HOG0002985",2,1.5,44
"Lipase","N0.HOG0002987",0,2,986
"Lipase","N0.HOG0002989",2,0,620
"Lipase","N0.HOG0002990",0,2,986
"Lipase","N0.HOG0002991",2,1,161
"Lipase","N0.HOG0002994",2,0,620
"Lipase","N0.HOG0002995",1,1,466
"Lipase","N0.HOG0002997",0,2,986
"Lipase","N0.HOG0003004",2,0,620
"Lipase","N0.HOG0003006",0,2,986
"Lipase","N0.HOG0003007",2.5,2,13
"Lipase","N0.HOG0003011",1,1,466
"Lipase","N0.HOG0003012",2,2,367
"Lipase","N0.HOG0003015",3,7.5,1
"Lipase","N0.HOG0003020",0,1,644
"Lipase","N0.HOG0003021",1,0,184
"Lipase","N0.HOG0003025",0,2,986
"Lipase","N0.HOG0003026",0,1,644
"Lipase","N0.HOG0003029",0,1,644
"Lipase","N0.HOG0003030",0,2,986
"Lipase","N0.HOG0003037",0,2,986
"Lipase","N0.HOG0003041",2,0,620
"Lipase","N0.HOG0003043",2,2,367
"Lipase","N0.HOG0003046",0,2,986
"Lipase","N0.HOG0003047",0,1,644
"Lipase","N0.HOG0003048",2,1,161
"Lipase","N0.HOG0003050",0,1,644
"Lipase","N0.HOG0003052",0,2,986
"Lipase","N0.HOG0003053",1,2,119
"Lipase","N0.HOG0003054",1,1,466
"Lipase","N0.HOG0003058",3,2,61
"Lipase","N0.HOG0003059",0,1,644
"Lipase","N0.HOG0003063",1,1,466
"Lipase","N0.HOG0003067",2,2,367
"Lipase","N0.HOG0003069",2,0,620
"Lipase","N0.HOG0003070",0,1,644
"Lipase","N0.HOG0003072",0,1.5,55
"Lipase","N0.HOG0003074",2,6,2
"Lipase","N0.HOG0003075",2,2,367
"Lipase","N0.HOG0003079",0,2,986
"Lipase","N0.HOG0003080",0,2,986
"Lipase","N0.HOG0003084",3,1.5,5
"Lipase","N0.HOG0003086",1,1,466
"Lipase","N0.HOG0003087",3,0,95
"Lipase","N0.HOG0003089",2,2,367
"Lipase","N0.HOG0003092",0,2,986
"Lipase","N0.HOG0003094",0,1.5,55
"Lipase","N0.HOG0003097",2,0,620
"Lipase","N0.HOG0003098",0,2,986
"Lipase","N0.HOG0003101",0,2,986
"Lipase","N0.HOG0003102",2,0,620
"Lipase","N0.HOG0003105",0,2,986
"Lipase","N0.HOG0003106",0,1,644
"Lipase","N0.HOG0003107",1,1,466
"Lipase","N0.HOG0003111",1,1,466
"Lipase","N0.HOG0003112",4,2,27
"Lipase","N0.HOG0003114",1,1,466
"Lipase","N0.HOG0003115",1,1,466
"Lipase","N0.HOG0003116",1,1,466
"Lipase","N0.HOG0003117",2,0,620
"Lipase","N0.HOG0003118",1,1,466
"Lipase","N0.HOG0003120",0,2,986
"Lipase","N0.HOG0003122",1,1,466
"Lipase","N0.HOG0003123",1,1,466
"Lipase","N0.HOG0003125",0,1,644
"Lipase","N0.HOG0003129",1.5,0,39
"Lipase","N0.HOG0003130",2,2,367
"Lipase","N0.HOG0003133",0,3,185
"Lipase","N0.HOG0003137",0,2,986
"Lipase","N0.HOG0003138",1.5,1,26
"Lipase","N0.HOG0003140",1,1,466
"Lipase","N0.HOG0003142",0,2,986
"Lipase","N0.HOG0003145",2,1,161
"Lipase","N0.HOG0003147",1,1,466
"Lipase","N0.HOG0003148",0,3,185
"Lipase","N0.HOG0003150",0,2,986
"Lipase","N0.HOG0003152",0,2,986
"Lipase","N0.HOG0003153",2,2,367
"Lipase","N0.HOG0003155",2,0,620
"Lipase","N0.HOG0003157",4,0,65
"Lipase","N0.HOG0003159",0,2,986
"Lipase","N0.HOG0003161",2,3,50
"Lipase","N0.HOG0003166",2,0,620
"Lipase","N0.HOG0003170",2,3,50
"Lipase","N0.HOG0003171",2,2,367
"Lipase","N0.HOG0003172",2,0,620
"Lipase","N0.HOG0003173",1,1,466
"Lipase","N0.HOG0003174",1.5,1,26
"Lipase","N0.HOG0003177",1,6,1
"Lipase","N0.HOG0003178",2,0,620
"Lipase","N0.HOG0003186",2,1,161
"Lipase","N0.HOG0003190",2,0,620
"Lipase","N0.HOG0003192",0,1,644
"Lipase","N0.HOG0003196",1,1,466
"Lipase","N0.HOG0003198",2,2,367
"Lipase","N0.HOG0003200",1,1,466
"Lipase","N0.HOG0003201",1,1,466
"Lipase","N0.HOG0003203",1,1,466
"Lipase","N0.HOG0003208",0,2,986
"Lipase","N0.HOG0003212",0,2,986
"Lipase","N0.HOG0003214",0,1,644
"Lipase","N0.HOG0003216",0,3.5,10
"Lipase","N0.HOG0003220",2,2,367
"Lipase","N0.HOG0003223",0,1,644
"Lipase","N0.HOG0003225",1,1,466
"Lipase","N0.HOG0003229",0,2,986
"Lipase","N0.HOG0003230",0,3,185
"Lipase","N0.HOG0003231",2,0,620
"Lipase","N0.HOG0003232",1,1,466
"Lipase","N0.HOG0003235",0,2,986
"Lipase","N0.HOG0003236",2,1,161
"Lipase","N0.HOG0003239",0,1,644
"Lipase","N0.HOG0003240",1,1,466
"Lipase","N0.HOG0003242",2,2,367
"Lipase","N0.HOG0003245",1.5,2,29
"Lipase","N0.HOG0003247",5,4,12
"Lipase","N0.HOG0003249",1,1.5,30
"Lipase","N0.HOG0003255",2,0,620
"Lipase","N0.HOG0003256",2,2,367
"Lipase","N0.HOG0003262",0,2,986
"Lipase","N0.HOG0003270",0,1,644
"Lipase","N0.HOG0003271",0,3,185
"Lipase","N0.HOG0003272",8,0,9
"Lipase","N0.HOG0003274",0,2,986
"Lipase","N0.HOG0003280",4,6.5,1
"Lipase","N0.HOG0003281",0,3,185
"Lipase","N0.HOG0003282",0,2,986
"Lipase","N0.HOG0003293",3,1,12
"Lipase","N0.HOG0003295",0,2,986
"Lipase","N0.HOG0003296",1.5,1,26
"Lipase","N0.HOG0003297",1,1,466
"Lipase","N0.HOG0003299",1,2,119
"Lipase","N0.HOG0003301",1,1,466
"Lipase","N0.HOG0003303",0,2,986
"Lipase","N0.HOG0003310",2,0,620
"Lipase","N0.HOG0003313",0,1,644
"Lipase","N0.HOG0003314",0,1,644
"Lipase","N0.HOG0003318",2,0,620
"Lipase","N0.HOG0003319",2.5,2,13
"Lipase","N0.HOG0003322",1,1,466
"Lipase","N0.HOG0003324",0,2,986
"Lipase","N0.HOG0003325",2,2,367
"Lipase","N0.HOG0003331",1,2,119
"Lipase","N0.HOG0003335",2,0,620
"Lipase","N0.HOG0003336",0,1,644
"Lipase","N0.HOG0003339",2,0,620
"Lipase","N0.HOG0003342",1,1,466
"Lipase","N0.HOG0003346",2,2,367
"Lipase","N0.HOG0003348",1,1,466
"Lipase","N0.HOG0003349",0,2,986
"Lipase","N0.HOG0003354",2,2,367
"Lipase","N0.HOG0003355",2,2,367
"Lipase","N0.HOG0003357",2,1,161
"Lipase","N0.HOG0003363",1,1,466
"Lipase","N0.HOG0003365",3,3,66
"Lipase","N0.HOG0003368",2,0,620
"Lipase","N0.HOG0003369",0,2,986
"Lipase","N0.HOG0003372",2,0,620
"Lipase","N0.HOG0003373",2,2,367
"Lipase","N0.HOG0003377",0,1,644
"Lipase","N0.HOG0003379",0,1,644
"Lipase","N0.HOG0003389",0,2,986
"Lipase","N0.HOG0003390",0,1,644
"Lipase","N0.HOG0003394",0,2,986
"Lipase","N0.HOG0003396",0,1,644
"Lipase","N0.HOG0003398",4.5,2,1
"Lipase","N0.HOG0003403",0,2,986
"Lipase","N0.HOG0003406",2,2,367
"Lipase","N0.HOG0003407",1,0,184
"Lipase","N0.HOG0003409",0,1,644
"Lipase","N0.HOG0003417",1,1,466
"Lipase","N0.HOG0003424",0,2,986
"Lipase","N0.HOG0003425",2,2,367
"Lipase","N0.HOG0003426",2,1.5,44
"Lipase","N0.HOG0003427",2,1,161
"Lipase","N0.HOG0003428",0,3,185
"Lipase","N0.HOG0003430",1,0,184
"Lipase","N0.HOG0003431",2,2,367
"Lipase","N0.HOG0003432",0,1,644
"Lipase","N0.HOG0003433",2,0,620
"Lipase","N0.HOG0003438",1.5,1.5,8
"Lipase","N0.HOG0003442",2,2,367
"Lipase","N0.HOG0003445",4.5,0,6
"Lipase","N0.HOG0003450",1,1,466
"Lipase","N0.HOG0003451",2,0,620
"Lipase","N0.HOG0003452",2,1,161
"Lipase","N0.HOG0003453",1,1,466
"Lipase","N0.HOG0003456",0,2,986
"Lipase","N0.HOG0003457",2,0,620
"Lipase","N0.HOG0003460",1,1,466
"Lipase","N0.HOG0003464",0,2,986
"Lipase","N0.HOG0003465",1,2,119
"Lipase","N0.HOG0003468",0,2,986
"Lipase","N0.HOG0003471",0,1,644
"Lipase","N0.HOG0003472",1,1,466
"Lipase","N0.HOG0003477",2,1,161
"Lipase","N0.HOG0003479",0,1,644
"Lipase","N0.HOG0003480",2,0,620
"Lipase","N0.HOG0003483",1,1,466
"Lipase","N0.HOG0003484",2,1,161
"Lipase","N0.HOG0003485",0,1,644
"Lipase","N0.HOG0003486",2,2,367
"Lipase","N0.HOG0003489",0,4,125
"Lipase","N0.HOG0003490",1,2,119
"Lipase","N0.HOG0003492",2,1,161
"Lipase","N0.HOG0003496",1,1,466
"Lipase","N0.HOG0003498",2,1,161
"Lipase","N0.HOG0003500",0,2,986
"Lipase","N0.HOG0003502",0,2,986
"Lipase","N0.HOG0003507",0,2,986
"Lipase","N0.HOG0003509",2,0,620
"Lipase","N0.HOG0003516",0,2,986
"Lipase","N0.HOG0003518",0,2,986
"Lipase","N0.HOG0003521",0,3,185
"Lipase","N0.HOG0003523",0,3,185
"Lipase","N0.HOG0003524",2,2,367
"Lipase","N0.HOG0003525",0,2,986
"Lipase","N0.HOG0003528",3,0,95
"Lipase","N0.HOG0003529",1,1,466
"Lipase","N0.HOG0003533",0,2,986
"Lipase","N0.HOG0003537",2,0,620
"Lipase","N0.HOG0003540",2,1,161
"Lipase","N0.HOG0003543",0,2,986
"Lipase","N0.HOG0003544",2,2,367
"Lipase","N0.HOG0003545",0,1,644
"Lipase","N0.HOG0003553",0,2,986
"Lipase","N0.HOG0003555",1,1,466
"Lipase","N0.HOG0003557",2,1,161
"Lipase","N0.HOG0003561",1,1,466
"Lipase","N0.HOG0003566",0,2,986
"Lipase","N0.HOG0003567",0,2,986
"Lipase","N0.HOG0003569",0,1,644
"Lipase","N0.HOG0003570",0,2,986
"Lipase","N0.HOG0003573",1,1,466
"Lipase","N0.HOG0003574",3,0,95
"Lipase","N0.HOG0003575",0,1,644
"Lipase","N0.HOG0003580",1,1,466
"Lipase","N0.HOG0003583",0,2,986
"Lipase","N0.HOG0003584",0,2,986
"Lipase","N0.HOG0003590",1,1,466
"Lipase","N0.HOG0003592",1,1,466
"Lipase","N0.HOG0003597",3.5,0,14
"Lipase","N0.HOG0003603",1,1,466
"Lipase","N0.HOG0003604",0,2,986
"Lipase","N0.HOG0003612",0,1,644
"Lipase","N0.HOG0003613",0,4,125
"Lipase","N0.HOG0003614",2,1.5,44
"Lipase","N0.HOG0003615",0,1,644
"Lipase","N0.HOG0003617",0,2,986
"Lipase","N0.HOG0003618",0,2,986
"Lipase","N0.HOG0003620",0,1,644
"Lipase","N0.HOG0003625",0,2,986
"Lipase","N0.HOG0003627",1,0,184
"Lipase","N0.HOG0003628",0,5.5,7
"Lipase","N0.HOG0003631",12,4,1
"Lipase","N0.HOG0003633",0,3.5,10
"Lipase","N0.HOG0003634",0,1,644
"Lipase","N0.HOG0003643",0,2,986
"Lipase","N0.HOG0003644",3,3,66
"Lipase","N0.HOG0003645",5,0,25
"Lipase","N0.HOG0003647",0,1,644
"Lipase","N0.HOG0003648",2,0,620
"Lipase","N0.HOG0003651",1.5,3,4
"Lipase","N0.HOG0003652",0,2,986
"Lipase","N0.HOG0003653",0,2,986
"Lipase","N0.HOG0003655",2,0,620
"Lipase","N0.HOG0003657",0,2,986
"Lipase","N0.HOG0003658",3,4,16
"Lipase","N0.HOG0003665",2,0,620
"Lipase","N0.HOG0003668",2,0,620
"Lipase","N0.HOG0003669",0,5,68
"Lipase","N0.HOG0003672",0,2,986
"Lipase","N0.HOG0003680",2,2,367
"Lipase","N0.HOG0003684",0,2,986
"Lipase","N0.HOG0003685",2,0,620
"Lipase","N0.HOG0003686",2,2,367
"Lipase","N0.HOG0003687",1,1,466
"Lipase","N0.HOG0003689",2,1,161
"Lipase","N0.HOG0003691",0,2,986
"Lipase","N0.HOG0003693",1,2,119
"Lipase","N0.HOG0003701",2,0,620
"Lipase","N0.HOG0003709",1,1,466
"Lipase","N0.HOG0003713",0,4,125
"Lipase","N0.HOG0003714",2,0,620
"Lipase","N0.HOG0003720",0,2,986
"Lipase","N0.HOG0003721",0,1,644
"Lipase","N0.HOG0003722",2,0,620
"Lipase","N0.HOG0003728",1,1,466
"Lipase","N0.HOG0003731",0,1,644
"Lipase","N0.HOG0003733",0,1,644
"Lipase","N0.HOG0003739",2,2,367
"Lipase","N0.HOG0003741",0,2,986
"Lipase","N0.HOG0003745",0,2,986
"Lipase","N0.HOG0003747",1,0,184
"Lipase","N0.HOG0003750",0,2,986
"Lipase","N0.HOG0003752",0,2,986
"Lipase","N0.HOG0003753",2,0,620
"Lipase","N0.HOG0003759",0,2,986
"Lipase","N0.HOG0003760",2,4,18
"Lipase","N0.HOG0003763",0,2,986
"Lipase","N0.HOG0003764",2,2,367
"Lipase","N0.HOG0003770",2,0,620
"Lipase","N0.HOG0003773",1,2,119
"Lipase","N0.HOG0003774",1.5,2,29
"Lipase","N0.HOG0003784",2,2,367
"Lipase","N0.HOG0003787",0,2,986
"Lipase","N0.HOG0003789",0,1,644
"Lipase","N0.HOG0003790",3,3,66
"Lipase","N0.HOG0003797",1,1,466
"Lipase","N0.HOG0003802",1,1,466
"Lipase","N0.HOG0003804",0,3,185
"Lipase","N0.HOG0003808",2,2,367
"Lipase","N0.HOG0003811",0,2,986
"Lipase","N0.HOG0003813",2,1,161
"Lipase","N0.HOG0003819",0,1,644
"Lipase","N0.HOG0003822",0,2,986
"Lipase","N0.HOG0003824",1,1.5,30
"Lipase","N0.HOG0003830",2,0,620
"Lipase","N0.HOG0003831",2,0,620
"Lipase","N0.HOG0003841",2,0,620
"Lipase","N0.HOG0003842",0,1,644
"Lipase","N0.HOG0003844",1,1,466
"Lipase","N0.HOG0003849",0,2,986
"Lipase","N0.HOG0003856",1,2,119
"Lipase","N0.HOG0003863",0,5,68
"Lipase","N0.HOG0003865",0,2,986
"Lipase","N0.HOG0003869",4,3,23
"Lipase","N0.HOG0003870",0,2,986
"Lipase","N0.HOG0003875",2,1,161
"Lipase","N0.HOG0003876",2,1.5,44
"Lipase","N0.HOG0003885",2,3,50
"Lipase","N0.HOG0003886",2,0,620
"Lipase","N0.HOG0003888",0,1,644
"Lipase","N0.HOG0003891",1,2,119
"Lipase","N0.HOG0003892",0,2,986
"Lipase","N0.HOG0003902",0,2,986
"Lipase","N0.HOG0003903",2,0,620
"Lipase","N0.HOG0003905",2,2,367
"Lipase","N0.HOG0003908",0,3,185
"Lipase","N0.HOG0003911",0,1,644
"Lipase","N0.HOG0003912",0,1,644
"Lipase","N0.HOG0003914",0,1,644
"Lipase","N0.HOG0003918",2,0,620
"Lipase","N0.HOG0003920",5,4.5,3
"Lipase","N0.HOG0003921",0,2,986
"Lipase","N0.HOG0003924",1,2,119
"Lipase","N0.HOG0003927",2,0,620
"Lipase","N0.HOG0003930",2,0,620
"Lipase","N0.HOG0003932",0,1,644
"Lipase","N0.HOG0003934",0,1,644
"Lipase","N0.HOG0003935",0,2,986
"Lipase","N0.HOG0003938",1,1,466
"Lipase","N0.HOG0003940",0,2,986
"Lipase","N0.HOG0003941",5,0,25
"Lipase","N0.HOG0003942",0,1,644
"Lipase","N0.HOG0003944",1,1,466
"Lipase","N0.HOG0003946",1,1,466
"Lipase","N0.HOG0003947",4,2,27
"Lipase","N0.HOG0003949",2,0,620
"Lipase","N0.HOG0003950",0,2,986
"Lipase","N0.HOG0003951",1,1,466
"Lipase","N0.HOG0003957",1,1,466
"Lipase","N0.HOG0003958",1,1,466
"Lipase","N0.HOG0003963",2,1,161
"Lipase","N0.HOG0003966",0,5,68
"Lipase","N0.HOG0003972",2,1.5,44
"Lipase","N0.HOG0003979",0,2,986
"Lipase","N0.HOG0003981",2,0,620
"Lipase","N0.HOG0003983",1,1,466
"Lipase","N0.HOG0003987",0,2,986
"Lipase","N0.HOG0003988",4,0,65
"Lipase","N0.HOG0003989",2,1,161
"Lipase","N0.HOG0003993",0,2,986
"Lipase","N0.HOG0003994",0,2,986
"Lipase","N0.HOG0003995",0,2,986
"Lipase","N0.HOG0003996",0,4,125
"Lipase","N0.HOG0003997",1,1,466
"Lipase","N0.HOG0003998",0,2,986
"Lipase","N0.HOG0004001",0,1,644
"Lipase","N0.HOG0004003",0,1,644
"Lipase","N0.HOG0004004",2,0,620
"Lipase","N0.HOG0004006",0,8,21
"Lipase","N0.HOG0004011",10,0,2
"Lipase","N0.HOG0004015",1,1,466
"Lipase","N0.HOG0004018",0,1,644
"Lipase","N0.HOG0004025",0,2,986
"Lipase","N0.HOG0004030",0,1,644
"Lipase","N0.HOG0004031",0,2,986
"Lipase","N0.HOG0004032",2,0,620
"Lipase","N0.HOG0004033",1,1,466
"Lipase","N0.HOG0004035",1,0,184
"Lipase","N0.HOG0004036",0,2,986
"Lipase","N0.HOG0004037",0,2,986
"Lipase","N0.HOG0004038",0,1,644
"Lipase","N0.HOG0004042",0,1,644
"Lipase","N0.HOG0004047",0,2,986
"Lipase","N0.HOG0004049",0,1,644
"Lipase","N0.HOG0004053",0,2,986
"Lipase","N0.HOG0004054",0,1,644
"Lipase","N0.HOG0004057",2,0,620
"Lipase","N0.HOG0004061",2,0,620
"Lipase","N0.HOG0004062",0,2,986
"Lipase","N0.HOG0004064",2,1,161
"Lipase","N0.HOG0004067",2,1,161
"Lipase","N0.HOG0004072",0,1,644
"Lipase","N0.HOG0004075",1,1,466
"Lipase","N0.HOG0004076",1,1,466
"Lipase","N0.HOG0004083",2,1.5,44
"Lipase","N0.HOG0004085",2,0,620
"Lipase","N0.HOG0004090",0,1,644
"Lipase","N0.HOG0004091",2,2,367
"Lipase","N0.HOG0004092",1,0,184
"Lipase","N0.HOG0004093",0,2,986
"Lipase","N0.HOG0004097",2,0,620
"Lipase","N0.HOG0004102",1.5,1.5,8
"Lipase","N0.HOG0004105",0,1,644
"Lipase","N0.HOG0004107",2,2,367
"Lipase","N0.HOG0004108",0,2,986
"Lipase","N0.HOG0004109",0,1,644
"Lipase","N0.HOG0004110",1,1,466
"Lipase","N0.HOG0004115",0,1,644
"Lipase","N0.HOG0004116",1,1,466
"Lipase","N0.HOG0004117",3,0,95
"Lipase","N0.HOG0004119",2,1,161
"Lipase","N0.HOG0004120",2,0,620
"Lipase","N0.HOG0004122",0,1,644
"Lipase","N0.HOG0004123",0,2,986
"Lipase","N0.HOG0004124",2,0,620
"Lipase","N0.HOG0004125",0,2,986
"Lipase","N0.HOG0004128",0,1,644
"Lipase","N0.HOG0004129",2,2,367
"Lipase","N0.HOG0004133",0,2,986
"Lipase","N0.HOG0004139",0,2,986
"Lipase","N0.HOG0004142",0,1,644
"Lipase","N0.HOG0004143",2,0,620
"Lipase","N0.HOG0004146",0,2,986
"Lipase","N0.HOG0004147",0,2,986
"Lipase","N0.HOG0004148",0,2,986
"Lipase","N0.HOG0004150",3,4,16
"Lipase","N0.HOG0004151",2,2,367
"Lipase","N0.HOG0004152",0,1,644
"Lipase","N0.HOG0004156",2,0,620
"Lipase","N0.HOG0004160",0,2,986
"Lipase","N0.HOG0004161",2,0,620
"Lipase","N0.HOG0004163",0,1,644
"Lipase","N0.HOG0004164",2,1,161
"Lipase","N0.HOG0004165",0,1.5,55
"Lipase","N0.HOG0004167",2,0,620
"Lipase","N0.HOG0004171",0,2,986
"Lipase","N0.HOG0004172",0,2,986
"Lipase","N0.HOG0004175",0,1,644
"Lipase","N0.HOG0004176",2,0,620
"Lipase","N0.HOG0004180",0,1,644
"Lipase","N0.HOG0004181",2,2,367
"Lipase","N0.HOG0004182",2,1.5,44
"Lipase","N0.HOG0004183",1,1,466
"Lipase","N0.HOG0004185",0,2,986
"Lipase","N0.HOG0004190",1,1,466
"Lipase","N0.HOG0004193",0,1,644
"Lipase","N0.HOG0004197",1,0,184
"Lipase","N0.HOG0004198",0,3,185
"Lipase","N0.HOG0004200",0,1.5,55
"Lipase","N0.HOG0004203",1,1,466
"Lipase","N0.HOG0004204",0,1,644
"Lipase","N0.HOG0004206",0,1,644
"Lipase","N0.HOG0004208",2,2,367
"Lipase","N0.HOG0004211",2,0,620
"Lipase","N0.HOG0004213",1,1,466
"Lipase","N0.HOG0004216",0,3,185
"Lipase","N0.HOG0004217",2,0,620
"Lipase","N0.HOG0004219",2,0,620
"Lipase","N0.HOG0004221",0,2,986
"Lipase","N0.HOG0004224",0,1,644
